imageUrl,title,artist,difficulty,constant,level,version,id
wiki_images/Subsphere.jpg,Subsphere in Eclosion,窓辺リカ,Eternal,10.6,10,6.11.6,1
wiki_images/Subsphere.jpg,Subsphere in Eclosion,窓辺リカ,Future,9.6,9,6.11.6,2
wiki_images/Subsphere.jpg,Subsphere in Eclosion,窓辺リカ,Present,8.1,8,6.11.6,3
wiki_images/Subsphere.jpg,Subsphere in Eclosion,窓辺リカ,Past,5.0,5,6.11.6,4
wiki_images/Paranoid_arc.jpg,Paranoid Arc,t+pazolite,Eternal,10.5,10,6.11.2,5
wiki_images/Paranoid_arc.jpg,Paranoid Arc,t+pazolite,Future,9.6,9,6.11.2,6
wiki_images/Paranoid_arc.jpg,Paranoid Arc,t+pazolite,Present,7.8,7+,6.11.2,7
wiki_images/Paranoid_arc.jpg,Paranoid Arc,t+pazolite,Past,4.5,4,6.11.2,8
,~_+,AQUASINE ~ MEMODEMO + METAROOM,Future,9.9,9+,6.11.2,9
,~_+,AQUASINE ~ MEMODEMO + METAROOM,Present,8.0,8,6.11.2,10
,~_+,AQUASINE ~ MEMODEMO + METAROOM,Past,4.5,4,6.11.2,11
wiki_images/Undefined.jpg,undefined,planless & 乃花こより,Future,9.4,9,6.11.2,12
wiki_images/Undefined.jpg,undefined,planless & 乃花こより,Present,6.0,6,6.11.2,13
wiki_images/Undefined.jpg,undefined,planless & 乃花こより,Past,3.5,3,6.11.2,14
wiki_images/Taboo_tears_you_up_2017.jpg,taboo tears you up 2017,REDALiCE,Eternal,9.8,9+,6.11.0,15
wiki_images/Taboo_tears_you_up_2017.jpg,taboo tears you up 2017,REDALiCE,Future,8.4,8,6.11.0,16
wiki_images/Taboo_tears_you_up_2017.jpg,taboo tears you up 2017,REDALiCE,Present,6.5,6,6.11.0,17
wiki_images/Taboo_tears_you_up_2017.jpg,taboo tears you up 2017,REDALiCE,Past,3.0,3,6.11.0,18
wiki_images/Grandspell.jpg,Grandspell,Hylen,Future,10.2,10,6.11.0,19
wiki_images/Grandspell.jpg,Grandspell,Hylen,Present,8.4,8,6.11.0,20
wiki_images/Grandspell.jpg,Grandspell,Hylen,Past,4.5,4,6.11.0,21
,ΛZΛLEΛ,ak+q × onoken,Eternal,10.0,10,6.10.8,22
,ΛZΛLEΛ,ak+q × onoken,Future,9.4,9,6.10.8,23
,ΛZΛLEΛ,ak+q × onoken,Present,7.0,7,6.10.8,24
,ΛZΛLEΛ,ak+q × onoken,Past,4.0,4,6.10.8,25
wiki_images/Code_Oblivion.jpg,Code: Oblivion,Kobaryo × Gram,Eternal,10.9,10+,6.10.8,26
wiki_images/Code_Oblivion.jpg,Code: Oblivion,Kobaryo × Gram,Future,9.9,9+,6.10.8,27
wiki_images/Code_Oblivion.jpg,Code: Oblivion,Kobaryo × Gram,Present,8.3,8,6.10.8,28
wiki_images/Code_Oblivion.jpg,Code: Oblivion,Kobaryo × Gram,Past,5.5,5,6.10.8,29
wiki_images/INFINITE_DIMENSION.jpg,INFINITE DIMENSION,DJ Noriken × P*Light,Eternal,10.1,10,6.10.8,30
wiki_images/INFINITE_DIMENSION.jpg,INFINITE DIMENSION,DJ Noriken × P*Light,Future,8.6,8,6.10.8,31
wiki_images/INFINITE_DIMENSION.jpg,INFINITE DIMENSION,DJ Noriken × P*Light,Present,6.0,6,6.10.8,32
wiki_images/INFINITE_DIMENSION.jpg,INFINITE DIMENSION,DJ Noriken × P*Light,Past,2.5,2,6.10.8,33
,INCARNATOR₀₀,Silentroom × N²,Eternal,10.4,10,6.10.8,34
,INCARNATOR₀₀,Silentroom × N²,Future,8.9,8+,6.10.8,35
,INCARNATOR₀₀,Silentroom × N²,Present,6.5,6,6.10.8,36
,INCARNATOR₀₀,Silentroom × N²,Past,3.5,3,6.10.8,37
wiki_images/MARENYX.jpg,MARENYX,BlackY × Aoi,Eternal,10.8,10+,6.10.8,38
wiki_images/MARENYX.jpg,MARENYX,BlackY × Aoi,Future,9.5,9,6.10.8,39
wiki_images/MARENYX.jpg,MARENYX,BlackY × Aoi,Present,7.8,7+,6.10.8,40
wiki_images/MARENYX.jpg,MARENYX,BlackY × Aoi,Past,4.5,4,6.10.8,41
wiki_images/Zephyrlasting.jpg,zephyrlasting,s-don × nitro (lowiro),Eternal,10.3,10,6.10.8,42
wiki_images/Zephyrlasting.jpg,zephyrlasting,s-don × nitro (lowiro),Future,9.5,9,6.10.8,43
wiki_images/Zephyrlasting.jpg,zephyrlasting,s-don × nitro (lowiro),Present,7.5,7,6.10.8,44
wiki_images/Zephyrlasting.jpg,zephyrlasting,s-don × nitro (lowiro),Past,3.5,3,6.10.8,45
wiki_images/The_raft.jpg,The 'Raft' taught me: your heart will always find a way.,庭師,Eternal,10.4,10,6.11.8,46
wiki_images/The_raft.jpg,The 'Raft' taught me: your heart will always find a way.,庭師,Future,9.5,9,6.11.8,47
wiki_images/The_raft.jpg,The 'Raft' taught me: your heart will always find a way.,庭師,Present,7.5,7,6.11.8,48
wiki_images/The_raft.jpg,The 'Raft' taught me: your heart will always find a way.,庭師,Past,4.5,4,6.11.8,49
