song,artist,difficulty,chart_constant,level,version
Subsphere in Eclosion,窓辺リカ,Eternal,10.6,10,6.11.6
Subsphere in Eclosion,窓辺リカ,Future,9.6,9,6.11.6
Subsphere in Eclosion,窓辺リカ,Present,8.1,8,6.11.6
Subsphere in Eclosion,窓辺リカ,Past,5.0,5,6.11.6
Paranoid Arc,t+pazolite,Eternal,10.5,10,6.11.2
Paranoid Arc,t+pazolite,Future,9.6,9,6.11.2
Paranoid Arc,t+pazolite,Present,7.8,7+,6.11.2
Paranoid Arc,t+pazolite,Past,4.5,4,6.11.2
~_+,AQUASINE ~ MEMODEMO + METAROOM,Future,9.9,9+,6.11.2
~_+,AQUASINE ~ MEMODEMO + METAROOM,Present,8.0,8,6.11.2
~_+,AQUASINE ~ MEMODEMO + METAROOM,Past,4.5,4,6.11.2
undefined,planless & 乃花こより,Future,9.4,9,6.11.2
undefined,planless & 乃花こより,Present,6.0,6,6.11.2
undefined,planless & 乃花こより,Past,3.5,3,6.11.2
taboo tears you up 2017,REDALiCE,Eternal,9.8,9+,6.11.0
taboo tears you up 2017,REDALiCE,Future,8.4,8,6.11.0
taboo tears you up 2017,REDALiCE,Present,6.5,6,6.11.0
taboo tears you up 2017,REDALiCE,Past,3.0,3,6.11.0
Grandspell,Hylen,Future,10.2,10,6.11.0
Grandspell,Hylen,Present,8.4,8,6.11.0
Grandspell,Hylen,Past,4.5,4,6.11.0
ΛZΛLEΛ,ak+q × onoken,Eternal,10.0,10,6.10.8
ΛZΛLEΛ,ak+q × onoken,Future,9.4,9,6.10.8
ΛZΛLEΛ,ak+q × onoken,Present,7.0,7,6.10.8
ΛZΛLEΛ,ak+q × onoken,Past,4.0,4,6.10.8
Code: Oblivion,Kobaryo × Gram,Eternal,10.9,10+,6.10.8
Code: Oblivion,Kobaryo × Gram,Future,9.9,9+,6.10.8
Code: Oblivion,Kobaryo × Gram,Present,8.3,8,6.10.8
Code: Oblivion,Kobaryo × Gram,Past,5.5,5,6.10.8
INFINITE DIMENSION,DJ Noriken × P*Light,Eternal,10.1,10,6.10.8
INFINITE DIMENSION,DJ Noriken × P*Light,Future,8.6,8,6.10.8
INFINITE DIMENSION,DJ Noriken × P*Light,Present,6.0,6,6.10.8
